Institution,manyclasses_institution_id,Institution_AdmissionRate,Institution_PercentPartTimeFaculty,Institution_AverageAnnualCostofAttendance,Institution_GraduationRate,Institution_PercentWhite,Institution_PercentReceivingFederalStudentLoans,Institution_PercentStudentsReturningAfterFirstYear,Institution_PercentofFullTimeStudents,Institution_PercentStudentsReceivingIncomeBasedPellGrants
IUNW,1,0.80,0.53,"8,358.00",0.26,0.53,0.36,0.67,0.73,0.30
IUB,2,0.77,0.12,"14,351.00",0.77,0.70,0.29,0.91,0.97,0.15
IUK,3,0.80,0.52,"9,073.00",0.39,0.83,0.36,0.62,0.81,0.30
IUE,4,0.65,0.60,"8,895.00",0.34,0.85,0.37,0.66,0.63,0.30
IUS,5,0.85,0.53,"10,268.00",0.32,0.83,0.40,0.60,0.68,0.35
UMich,6,0.23,0.19,"14,860.00",0.91,0.61,0.29,0.97,0.97,0.15
UMN-Morris,7,0.63,0.23,"11,051.00",0.64,0.58,0.46,0.79,0.96,0.30
UMN-TwinCities,8,0.52,0.23,"17,396.00",0.79,0.68,0.40,0.93,0.93,0.19
UMN-Duluth,9,0.74,0.19,"17,131.00",0.61,0.85,0.55,0.78,0.95,0.22
UMN-Rochester,10,0.50,0.10,"15,234.00",0.54,0.70,0.63,0.69,0.95,0.33
PSU-Harrisburg,11,0.88,0.39,"21,974.00",0.72,0.54,0.55,0.88,0.93,0.29
PSU-Main,12,0.56,0.19,"30,373.00",0.86,0.66,0.45,0.93,0.98,0.15
PSU-Lehigh,13,0.85,0.53,"14,178.00",0.56,0.61,0.52,0.84,0.88,0.36
PSU-Behrend,14,0.89,0.20,"24,477.00",0.70,0.77,0.63,0.85,0.96,0.28
UNL,15,0.80,0.06,"17,784.00",0.66,0.75,0.41,0.83,0.93,0.22